Timestamp,Gender,Hours_Workedout
3/24/2023 8:27:51,Male,6
3/24/2023 8:31:42,Male,13
3/24/2023 8:32:27,Female,4.35
3/24/2023 8:34:20,Male,11
3/24/2023 8:41:40,Female,5.25
3/24/2023 8:55:01,Male,10
3/24/2023 9:01:28,Male,3.35
3/24/2023 9:04:21,Female,4
3/24/2023 9:15:19,Female,0.5
3/24/2023 9:17:38,Female,0.33
3/24/2023 9:24:12,Male,4
3/24/2023 9:28:48,Female,1
3/24/2023 9:34:49,Male,6
3/24/2023 9:42:20,Female,1
3/24/2023 9:42:37,,1
3/24/2023 10:11:49,Female,5.5
3/24/2023 10:37:34,Male,8.5
3/24/2023 10:45:33,Female,0.4
3/24/2023 10:52:01,Male,1
3/24/2023 10:53:01,Male,12
3/24/2023 11:12:47,Male,10.5
3/24/2023 12:08:05,Female,0
3/24/2023 12:40:39,Female,3.25
3/24/2023 12:58:34,Female,1.5
3/24/2023 12:59:33,Male,1.5
3/24/2023 13:10:12,Female,0.02
3/24/2023 13:12:27,Male,2.3
3/24/2023 13:58:44,Female,2
3/24/2023 20:44:17,Female,1
3/24/2023 21:59:18,Female,2.3
4/3/2023 7:53:56,Male,12
4/3/2023 11:00:38,Male,0
4/3/2023 11:10:41,Male,21
4/3/2023 11:14:20,Male,1.38
4/3/2023 11:20:38,Male,0
4/3/2023 11:21:43,Male,12
4/3/2023 11:21:49,Male,19.24
4/3/2023 11:21:54,Female,6
4/3/2023 11:21:55,Female,0.5
4/3/2023 11:22:00,Male,17
4/3/2023 11:22:03,Male,6
4/3/2023 11:22:06,Male,7
4/3/2023 11:22:31,Male,6.34
4/3/2023 11:22:39,Female,6
4/3/2023 11:22:39,Male,6
4/3/2023 11:22:39,Female,1
4/3/2023 11:22:50,Female,2
4/3/2023 11:23:05,Female,9.61
4/3/2023 11:23:26,Female,1.43
4/3/2023 11:23:28,Male,6.8
4/3/2023 11:24:25,Female,5.73
4/3/2023 11:24:32,Male,6.52
4/3/2023 11:24:34,Male,0
4/3/2023 11:24:38,Male,7
4/3/2023 11:24:45,Male,2
4/3/2023 11:24:48,Female,8.25
4/3/2023 11:25:01,Male,12.22
4/3/2023 11:25:10,Male,5.22
4/3/2023 11:25:19,Male,8.26
4/3/2023 11:25:27,Female,0
4/3/2023 11:25:34,Female,0
4/3/2023 11:25:36,Female,9.28
4/3/2023 11:26:40,Male,8.53
4/3/2023 11:28:51,Female,11.32
4/3/2023 11:29:03,Male,6.43
4/3/2023 11:38:47,Male,0
4/3/2023 11:38:55,Male,6
4/3/2023 11:39:30,Female,8
4/3/2023 11:39:36,Male,12.5
4/3/2023 11:39:56,Male,0
4/3/2023 11:39:56,Male,0
4/3/2023 11:40:03,Male,4.45
4/3/2023 11:40:03,Male,5.57
4/3/2023 11:40:03,Male,6
4/3/2023 11:40:12,Male,0
4/3/2023 11:40:19,Male,10
4/3/2023 11:40:24,Male,0
4/3/2023 11:40:32,Female,0
4/3/2023 11:40:41,Female,0
4/3/2023 11:40:44,Male,0
4/3/2023 11:40:55,Female,0
4/3/2023 11:40:59,Male,0
4/3/2023 11:40:59,Male,0
4/3/2023 11:41:29,Female,0.27
4/3/2023 11:41:33,Female,4
4/3/2023 11:41:57,Male,0.17
4/3/2023 11:42:07,Male,0
4/3/2023 11:42:19,Female,5
4/3/2023 11:42:22,Male,10
4/3/2023 11:42:22,Male,0
4/3/2023 11:42:27,Male,5.62
4/3/2023 11:42:35,Male,0.25
4/3/2023 11:42:36,Male,0
4/3/2023 11:42:38,Male,15
4/3/2023 11:42:40,Male,5.52
4/3/2023 11:42:48,Female,0
4/3/2023 11:42:49,Female,3.38
4/3/2023 11:42:53,Male,0.52
4/3/2023 11:43:00,Male,12.68
4/3/2023 11:43:04,Male,6.69
4/3/2023 11:43:07,Female,0
4/3/2023 11:43:10,Female,10
4/3/2023 11:43:13,Female,0.5
4/3/2023 11:43:33,Female,8
4/3/2023 11:43:37,Male,3
4/3/2023 11:43:49,Female,25
4/3/2023 11:43:58,Female,30
4/3/2023 11:44:24,Female,2.28
4/3/2023 11:45:39,Male,2
4/3/2023 11:45:39,Male,0
4/3/2023 11:46:18,Female,0
4/3/2023 11:46:45,Female,0
4/3/2023 11:47:02,Male,5
4/3/2023 11:47:08,Male,5
4/3/2023 11:47:14,Male,18
4/3/2023 11:47:34,Male,3
4/3/2023 11:47:53,Male,6.42
4/3/2023 11:48:30,Female,0.03
4/3/2023 11:49:18,Male,10
4/3/2023 11:49:18,Male,6.37
4/3/2023 11:50:02,Male,7
4/3/2023 11:50:54,Male,2.69
4/3/2023 11:51:27,Male,4.5
4/3/2023 11:53:13,Female,6
4/3/2023 11:53:32,Female,3.45
4/3/2023 11:53:52,Female,1
4/3/2023 12:03:29,Female,3
4/3/2023 12:09:05,Female,4.5
4/3/2023 12:15:06,Male,2